Symbol|Probability
=|1.7e-05
space|1.7e-01
-|6.1e-04
,|1.2e-02
;|3.9e-04
:|2.9e-04
!|6.0e-04
?|4.7e-04
/|1.9e-05
.|7.7e-03
'|1.9e-05
double quotes|2.4e-05
(|2.3e-04
)|2.2e-04
[|1.7e-05
]|1.7e-05
*|1.1e-04
0|6.9e-05
1|1.4e-04
2|6.0e-05
3|3.4e-05
4|2.3e-05
5|3.2e-05
6|3.2e-05
7|2.8e-05
8|7.6e-05
9|2.6e-05
a|6.6e-02
b|1.1e-02
c|2.0e-02
d|3.8e-02
e|1.0e-01
f|1.8e-02
g|1.6e-02
h|5.4e-02
i|5.6e-02
j|8.5e-04
k|6.4e-03
l|3.1e-02
m|2.0e-02
n|5.9e-02
o|6.2e-02
p|1.5e-02
q|7.7e-04
r|4.7e-02
s|5.2e-02
t|7.2e-02
u|2.1e-02
v|8.5e-03
w|1.9e-02
x|1.4e-03
y|1.5e-02
z|7.4e-04
