Trial|Decryption
0|itedcecoutl featpedof eyunt fa.n ec afredcevas, felay ed ero
1|in my younger and more vulnerable years my father gave me so
2|in cy yomnker and core vmlnerable years cy father kave ce so
3|is hy ytoswer asd htre volseraule yearm hy fanger wave he mt
4|in my younger and more vulnerable years my father gave me so
5|"5407""0""][4)81094307]180(['4819*'80""891207""0:96=810)9(807802]"
6|"542)(2(]94""18234=2)]812:9'4183*'12(13862)(2[307182""3:12)126]"
7|ioadcaclyon earowadle agy.o erk. ac retadcafrsu eanrg ad atl
8|in my younker and more vulnerable years my father kave me so
9|in my younker and more vulnerable years my father kave me so
